id_municipio;SUM de populacao_residente;;;;;;;;;;;;;;;;;;;;;;;;
1301852;61150;;;;;;;;;;;;;;;;;;;;;;;;
1301902;103566;;;;;;;;;;;;;;;;;;;;;;;;
1301951;10935;;;;;;;;;;;;;;;;;;;;;;;;
1302009;10159;;;;;;;;;;;;;;;;;;;;;;;;
1302108;8852;;;;;;;;;;;;;;;;;;;;;;;;
1302207;10737;;;;;;;;;;;;;;;;;;;;;;;;
1302306;25169;;;;;;;;;;;;;;;;;;;;;;;;
1302405;45444;;;;;;;;;;;;;;;;;;;;;;;;
1302504;101854;;;;;;;;;;;;;;;;;;;;;;;;
1302553;17104;;;;;;;;;;;;;;;;;;;;;;;;
1302603;2063483;;;;;;;;;;;;;;;;;;;;;;;;
1302702;53896;;;;;;;;;;;;;;;;;;;;;;;;
1302801;15525;;;;;;;;;;;;;;;;;;;;;;;;
1302900;61198;;;;;;;;;;;;;;;;;;;;;;;;
1303007;20133;;;;;;;;;;;;;;;;;;;;;;;;
1303106;27035;;;;;;;;;;;;;;;;;;;;;;;;
1303205;15760;;;;;;;;;;;;;;;;;;;;;;;;
1303304;23798;;;;;;;;;;;;;;;;;;;;;;;;
1303403;96341;;;;;;;;;;;;;;;;;;;;;;;;
1303502;19372;;;;;;;;;;;;;;;;;;;;;;;;
1303536;30667;;;;;;;;;;;;;;;;;;;;;;;;
1303569;24934;;;;;;;;;;;;;;;;;;;;;;;;
1303601;14161;;;;;;;;;;;;;;;;;;;;;;;;
1303700;28191;;;;;;;;;;;;;;;;;;;;;;;;
1303809;51779;;;;;;;;;;;;;;;;;;;;;;;;
1303908;32964;;;;;;;;;;;;;;;;;;;;;;;;
1303957;11669;;;;;;;;;;;;;;;;;;;;;;;;
1304005;11557;;;;;;;;;;;;;;;;;;;;;;;;
1304062;66754;;;;;;;;;;;;;;;;;;;;;;;;
1304104;19596;;;;;;;;;;;;;;;;;;;;;;;;
1304203;73646;;;;;;;;;;;;;;;;;;;;;;;;
1304237;19243;;;;;;;;;;;;;;;;;;;;;;;;
1304260;14427;;;;;;;;;;;;;;;;;;;;;;;;
1304302;18628;;;;;;;;;;;;;;;;;;;;;;;;
1304401;23923;;;;;;;;;;;;;;;;;;;;;;;;
1400027;13926;;;;;;;;;;;;;;;;;;;;;;;;
1400050;21093;;;;;;;;;;;;;;;;;;;;;;;;
1400100;413444;;;;;;;;;;;;;;;;;;;;;;;;
1400159;13922;;;;;;;;;;;;;;;;;;;;;;;;
1400175;18681;;;;;;;;;;;;;;;;;;;;;;;;
1400209;20950;;;;;;;;;;;;;;;;;;;;;;;;
1400233;10654;;;;;;;;;;;;;;;;;;;;;;;;
1400282;10023;;;;;;;;;;;;;;;;;;;;;;;;
1400308;18092;;;;;;;;;;;;;;;;;;;;;;;;
1400407;13983;;;;;;;;;;;;;;;;;;;;;;;;
1400456;19301;;;;;;;;;;;;;;;;;;;;;;;;
1400472;32645;;;;;;;;;;;;;;;;;;;;;;;;
1400506;8857;;;;;;;;;;;;;;;;;;;;;;;;
1400605;7314;;;;;;;;;;;;;;;;;;;;;;;;
1400704;13749;;;;;;;;;;;;;;;;;;;;;;;;
1500107;158132;;;;;;;;;;;;;;;;;;;;;;;;
1500131;7029;;;;;;;;;;;;;;;;;;;;;;;;
1500206;59009;;;;;;;;;;;;;;;;;;;;;;;;
1500305;37757;;;;;;;;;;;;;;;;;;;;;;;;
1500347;18080;;;;;;;;;;;;;;;;;;;;;;;;
1500404;69371;;;;;;;;;;;;;;;;;;;;;;;;
1500503;34267;;;;;;;;;;;;;;;;;;;;;;;;
1500602;126271;;;;;;;;;;;;;;;;;;;;;;;;
1500701;28006;;;;;;;;;;;;;;;;;;;;;;;;
1500800;478698;;;;;;;;;;;;;;;;;;;;;;;;
1500859;31850;;;;;;;;;;;;;;;;;;;;;;;;
1500909;44564;;;;;;;;;;;;;;;;;;;;;;;;
1500958;23769;;;;;;;;;;;;;;;;;;;;;;;;
1501006;18289;;;;;;;;;;;;;;;;;;;;;;;;
1501105;31871;;;;;;;;;;;;;;;;;;;;;;;;
1501204;51630;;;;;;;;;;;;;;;;;;;;;;;;
1501253;4031;;;;;;;;;;;;;;;;;;;;;;;;
1501303;126611;;;;;;;;;;;;;;;;;;;;;;;;
1501402;1303096;;;;;;;;;;;;;;;;;;;;;;;;
1501451;18096;;;;;;;;;;;;;;;;;;;;;;;;
1501501;63548;;;;;;;;;;;;;;;;;;;;;;;;
1501576;17999;;;;;;;;;;;;;;;;;;;;;;;;
1501600;12619;;;;;;;;;;;;;;;;;;;;;;;;
1501709;123054;;;;;;;;;;;;;;;;;;;;;;;;
1501725;24717;;;;;;;;;;;;;;;;;;;;;;;;
1501758;6780;;;;;;;;;;;;;;;;;;;;;;;;
1501782;45702;;;;;;;;;;;;;;;;;;;;;;;;
1501808;106903;;;;;;;;;;;;;;;;;;;;;;;;
1501907;24378;;;;;;;;;;;;;;;;;;;;;;;;
1501956;19630;;;;;;;;;;;;;;;;;;;;;;;;
1502004;23967;;;;;;;;;;;;;;;;;;;;;;;;
1502103;134134;;;;;;;;;;;;;;;;;;;;;;;;
1502152;77076;;;;;;;;;;;;;;;;;;;;;;;;
1502202;70379;;;;;;;;;;;;;;;;;;;;;;;;
1502301;56498;;;;;;;;;;;;;;;;;;;;;;;;
1502400;192227;;;;;;;;;;;;;;;;;;;;;;;;
1502509;20752;;;;;;;;;;;;;;;;;;;;;;;;
1502608;12865;;;;;;;;;;;;;;;;;;;;;;;;
1502707;44606;;;;;;;;;;;;;;;;;;;;;;;;
1502756;26871;;;;;;;;;;;;;;;;;;;;;;;;
1502764;14036;;;;;;;;;;;;;;;;;;;;;;;;
1502772;19946;;;;;;;;;;;;;;;;;;;;;;;;
1502806;33870;;;;;;;;;;;;;;;;;;;;;;;;
1502855;14115;;;;;;;;;;;;;;;;;;;;;;;;
1502905;41255;;;;;;;;;;;;;;;;;;;;;;;;
1502939;58482;;;;;;;;;;;;;;;;;;;;;;;;
1502954;28186;;;;;;;;;;;;;;;;;;;;;;;;
1503002;8726;;;;;;;;;;;;;;;;;;;;;;;;
1503044;17898;;;;;;;;;;;;;;;;;;;;;;;;
1503077;24699;;;;;;;;;;;;;;;;;;;;;;;;
1503093;26358;;;;;;;;;;;;;;;;;;;;;;;;
1503101;31780;;;;;;;;;;;;;;;;;;;;;;;;
1503200;35781;;;;;;;;;;;;;;;;;;;;;;;;
1503309;64797;;;;;;;;;;;;;;;;;;;;;;;;
1503408;10322;;;;;;;;;;;;;;;;;;;;;;;;
1503457;30328;;;;;;;;;;;;;;;;;;;;;;;;
1503507;30946;;;;;;;;;;;;;;;;;;;;;;;;
1503606;123303;;;;;;;;;;;;;;;;;;;;;;;;
1503705;49751;;;;;;;;;;;;;;;;;;;;;;;;
1503754;24040;;;;;;;;;;;;;;;;;;;;;;;;
1503804;37700;;;;;;;;;;;;;;;;;;;;;;;;
1503903;50875;;;;;;;;;;;;;;;;;;;;;;;;
1504000;29558;;;;;;;;;;;;;;;;;;;;;;;;
1504059;34350;;;;;;;;;;;;;;;;;;;;;;;;
1504109;8111;;;;;;;;;;;;;;;;;;;;;;;;
1504208;266504;;;;;;;;;;;;;;;;;;;;;;;;
1504307;25952;;;;;;;;;;;;;;;;;;;;;;;;
1504406;26555;;;;;;;;;;;;;;;;;;;;;;;;
1504422;111766;;;;;;;;;;;;;;;;;;;;;;;;
1504455;27093;;;;;;;;;;;;;;;;;;;;;;;;
1504505;27863;;;;;;;;;;;;;;;;;;;;;;;;
1504604;27191;;;;;;;;;;;;;;;;;;;;;;;;
1504703;84081;;;;;;;;;;;;;;;;;;;;;;;;
1504752;23499;;;;;;;;;;;;;;;;;;;;;;;;
1504802;60005;;;;;;;;;;;;;;;;;;;;;;;;
1504901;45354;;;;;;;;;;;;;;;;;;;;;;;;
1504950;20477;;;;;;;;;;;;;;;;;;;;;;;;
1504976;13950;;;;;;;;;;;;;;;;;;;;;;;;
1505007;12804;;;;;;;;;;;;;;;;;;;;;;;;
1505031;33636;;;;;;;;;;;;;;;;;;;;;;;;
1505064;60728;;;;;;;;;;;;;;;;;;;;;;;;
1505106;52221;;;;;;;;;;;;;;;;;;;;;;;;
1505205;33810;;;;;;;;;;;;;;;;;;;;;;;;
1505304;68287;;;;;;;;;;;;;;;;;;;;;;;;
1505403;17851;;;;;;;;;;;;;;;;;;;;;;;;
1505437;32465;;;;;;;;;;;;;;;;;;;;;;;;
1505486;41091;;;;;;;;;;;;;;;;;;;;;;;;
1505494;6882;;;;;;;;;;;;;;;;;;;;;;;;
1505502;105535;;;;;;;;;;;;;;;;;;;;;;;;
1505536;267821;;;;;;;;;;;;;;;;;;;;;;;;
1505551;6931;;;;;;;;;;;;;;;;;;;;;;;;
1505601;8284;;;;;;;;;;;;;;;;;;;;;;;;
1505635;12831;;;;;;;;;;;;;;;;;;;;;;;;
1505650;18666;;;;;;;;;;;;;;;;;;;;;;;;
1505700;24977;;;;;;;;;;;;;;;;;;;;;;;;
1505809;62474;;;;;;;;;;;;;;;;;;;;;;;;
1505908;40586;;;;;;;;;;;;;;;;;;;;;;;;
1506005;35576;;;;;;;;;;;;;;;;;;;;;;;;
1506104;10844;;;;;;;;;;;;;;;;;;;;;;;;
1506112;11516;;;;;;;;;;;;;;;;;;;;;;;;
1506138;85595;;;;;;;;;;;;;;;;;;;;;;;;
1506161;18382;;;;;;;;;;;;;;;;;;;;;;;;
1506187;53138;;;;;;;;;;;;;;;;;;;;;;;;
1506195;35766;;;;;;;;;;;;;;;;;;;;;;;;
1506203;44764;;;;;;;;;;;;;;;;;;;;;;;;
1506302;24122;;;;;;;;;;;;;;;;;;;;;;;;
1506351;21079;;;;;;;;;;;;;;;;;;;;;;;;
1506401;7445;;;;;;;;;;;;;;;;;;;;;;;;
1506500;73002;;;;;;;;;;;;;;;;;;;;;;;;
1506559;20365;;;;;;;;;;;;;;;;;;;;;;;;
1506583;16548;;;;;;;;;;;;;;;;;;;;;;;;
1506609;24620;;;;;;;;;;;;;;;;;;;;;;;;
1506708;32408;;;;;;;;;;;;;;;;;;;;;;;;
1506807;331913;;;;;;;;;;;;;;;;;;;;;;;;
1506906;6113;;;;;;;;;;;;;;;;;;;;;;;;
1507003;27446;;;;;;;;;;;;;;;;;;;;;;;;
1507102;16658;;;;;;;;;;;;;;;;;;;;;;;;
1507151;21089;;;;;;;;;;;;;;;;;;;;;;;;
1507201;30593;;;;;;;;;;;;;;;;;;;;;;;;
1507300;65415;;;;;;;;;;;;;;;;;;;;;;;;
1507409;14892;;;;;;;;;;;;;;;;;;;;;;;;
1507458;24252;;;;;;;;;;;;;;;;;;;;;;;;
1507466;4429;;;;;;;;;;;;;;;;;;;;;;;;
1507474;20676;;;;;;;;;;;;;;;;;;;;;;;;
1507508;13660;;;;;;;;;;;;;;;;;;;;;;;;
1507607;52883;;;;;;;;;;;;;;;;;;;;;;;;
1507706;25631;;;;;;;;;;;;;;;;;;;;;;;;
