Sexo,De 0 a 4 anos,De 5 a 9 anos,De 10 a 14 anos,De 15 a 19 anos,De 20 a 24 anos,De 25 a 29 anos,De 30 a 34 anos,De 35 a 39 anos,De 40 a 44 anos,De 45 a 49 anos,De 50 a 54 anos,De 55 a 59 anos,De 60 a 64 anos,De 65 a 69 anos,De 70 a 74 anos,De 75 a 79 anos,De 80 anos ou mais,Total,tipologia,ano,estado
Feminino,97021.0,101160.0,112066.0,120186.0,120790.0,118883.0,123513.0,120818.0,104968.0,90397.0,80227.0,66463.0,53871.0,42580.0,33509.0,24552.0,31050.0,1442054.0,U,2018,BA
Masculino,101797.0,101350.0,109469.0,118178.0,120692.0,111681.0,108220.0,111020.0,102893.0,86121.0,75462.0,62438.0,50226.0,37695.0,28361.0,19417.0,21106.0,1366126.0,U,2021,BA
Feminino,97054.0,97750.0,106709.0,116013.0,119060.0,116641.0,119254.0,123447.0,114161.0,96318.0,85846.0,73097.0,59787.0,46947.0,36652.0,27177.0,35040.0,1470953.0,U,2021,BA
Masculino,25979.0,25899.0,26922.0,29144.0,31419.0,29369.0,27039.0,24557.0,22138.0,20390.0,19484.0,16547.0,12541.0,10765.0,8788.0,6270.0,7688.0,344939.0,IA,2018,CE
Feminino,24802.0,24670.0,25771.0,28273.0,31048.0,30279.0,28328.0,25611.0,23511.0,22001.0,20803.0,17863.0,14479.0,12452.0,10193.0,7752.0,10429.0,358265.0,IA,2018,CE
Masculino,25783.0,25593.0,25379.0,25597.0,29218.0,29829.0,27992.0,25816.0,23351.0,21024.0,19875.0,18499.0,14096.0,11071.0,9386.0,6614.0,8155.0,347278.0,IA,2021,CE
Feminino,24607.0,24310.0,24042.0,24820.0,28933.0,30417.0,29506.0,26997.0,24753.0,22671.0,21593.0,19481.0,15877.0,13036.0,11075.0,8116.0,11490.0,361724.0,IA,2021,CE
Masculino,110782.0,108294.0,110187.0,118968.0,129726.0,121132.0,108328.0,97679.0,87461.0,77993.0,73282.0,61416.0,47304.0,41257.0,33632.0,24149.0,28557.0,1380147.0,RA,2018,CE
Feminino,105741.0,102680.0,103750.0,113111.0,126254.0,121178.0,109552.0,98310.0,88639.0,80077.0,75112.0,63409.0,51604.0,45268.0,36584.0,27808.0,36756.0,1385833.0,RA,2018,CE
Masculino,110775.0,108237.0,104021.0,103876.0,120004.0,124818.0,113974.0,102681.0,93814.0,82039.0,75869.0,68784.0,52259.0,42226.0,35738.0,25443.0,30555.0,1395113.0,RA,2021,CE
Feminino,105701.0,102166.0,97407.0,98200.0,117084.0,123993.0,116016.0,104104.0,95386.0,83937.0,78352.0,69985.0,55702.0,46999.0,39525.0,29009.0,40312.0,1403878.0,RA,2021,CE
Masculino,91849.0,90601.0,97165.0,108458.0,115025.0,106217.0,100208.0,87965.0,76021.0,66029.0,59313.0,47506.0,34930.0,28256.0,22074.0,15417.0,17181.0,1164215.0,U,2018,CE
Feminino,87691.0,86472.0,92617.0,104429.0,114234.0,110539.0,105849.0,93815.0,82731.0,73513.0,67105.0,55186.0,42346.0,34851.0,27199.0,19838.0,25860.0,1224275.0,U,2018,CE
