Sexo,De 0 a 4 anos,De 5 a 9 anos,De 10 a 14 anos,De 15 a 19 anos,De 20 a 24 anos,De 25 a 29 anos,De 30 a 34 anos,De 35 a 39 anos,De 40 a 44 anos,De 45 a 49 anos,De 50 a 54 anos,De 55 a 59 anos,De 60 a 64 anos,De 65 a 69 anos,De 70 a 74 anos,De 75 a 79 anos,De 80 anos ou mais,Total,tipologia,ano,estado
Feminino,43460.0,44874.0,52485.0,60271.0,61880.0,56716.0,62033.0,62614.0,59111.0,49752.0,44406.0,39790.0,33456.0,26470.0,19398.0,12578.0,15444.0,744738.0,U,2021,PI
Masculino,14805.0,15260.0,16014.0,16608.0,17280.0,17381.0,17270.0,15334.0,13344.0,12533.0,11975.0,9788.0,7005.0,5757.0,4816.0,3353.0,4155.0,202678.0,IA,2018,RN
Feminino,14181.0,14468.0,15050.0,16003.0,17079.0,17227.0,16929.0,15450.0,13867.0,13008.0,12531.0,10556.0,7871.0,6809.0,5825.0,4209.0,5914.0,206977.0,IA,2018,RN
Masculino,14455.0,14861.0,15121.0,15612.0,16499.0,16872.0,17454.0,16429.0,14240.0,12801.0,12371.0,11177.0,8231.0,5948.0,5150.0,3575.0,4442.0,205238.0,IA,2021,RN
Feminino,13836.0,14132.0,14111.0,14787.0,16302.0,16845.0,17172.0,16304.0,14749.0,13339.0,12840.0,11840.0,9041.0,6951.0,6308.0,4546.0,6504.0,209607.0,IA,2021,RN
Masculino,30610.0,31132.0,32356.0,33738.0,35045.0,34988.0,34299.0,30478.0,26348.0,24101.0,22920.0,18656.0,13392.0,11408.0,9763.0,6890.0,8470.0,404594.0,RA,2018,RN
Feminino,29300.0,29601.0,30485.0,31588.0,33180.0,33811.0,32816.0,29350.0,25998.0,24441.0,22978.0,19043.0,14498.0,12709.0,11049.0,8136.0,11050.0,400033.0,RA,2018,RN
Masculino,30045.0,30582.0,30381.0,31459.0,33380.0,34052.0,34767.0,32639.0,28553.0,24935.0,23744.0,21430.0,15572.0,11538.0,10311.0,7302.0,9069.0,409759.0,RA,2021,RN
Feminino,28738.0,28977.0,28409.0,29504.0,31477.0,33170.0,33610.0,31452.0,27787.0,25232.0,24001.0,21346.0,16377.0,12831.0,11744.0,8730.0,12210.0,405595.0,RA,2021,RN
Masculino,26797.0,27839.0,29520.0,31395.0,33048.0,33234.0,33874.0,30291.0,25872.0,23180.0,21439.0,16996.0,11798.0,9049.0,7302.0,4801.0,5496.0,371931.0,U,2018,RN
Feminino,25662.0,26992.0,28788.0,30254.0,32155.0,33360.0,34163.0,31117.0,27352.0,25155.0,23998.0,19715.0,14516.0,11876.0,9691.0,6854.0,9287.0,390935.0,U,2018,RN
Masculino,26404.0,27352.0,28677.0,30349.0,32741.0,32524.0,34161.0,32491.0,28214.0,23980.0,22266.0,19330.0,14142.0,9593.0,7925.0,5290.0,5946.0,381385.0,U,2021,RN
Feminino,25265.0,26361.0,28069.0,29328.0,31532.0,32196.0,34389.0,32916.0,29555.0,25732.0,24856.0,22345.0,16996.0,12621.0,10761.0,7532.0,10349.0,400803.0,U,2021,RN
Masculino,7859.0,7836.0,8201.0,9032.0,9402.0,8616.0,8069.0,7313.0,6605.0,5942.0,5302.0,4190.0,3280.0,2679.0,2085.0,1348.0,1462.0,99221.0,IA,2018,SE
Feminino,7508.0,7570.0,7986.0,8792.0,9441.0,9144.0,8663.0,7772.0,6992.0,6246.0,5590.0,4436.0,3500.0,3008.0,2393.0,1741.0,2151.0,102933.0,IA,2018,SE
Masculino,7893.0,7835.0,7716.0,8217.0,9271.0,8858.0,8411.0,7626.0,7026.0,6209.0,5749.0,4785.0,3685.0,2813.0,2268.0,1496.0,1571.0,101429.0,IA,2021,SE
Feminino,7536.0,7489.0,7545.0,7989.0,9197.0,9310.0,9129.0,8219.0,7477.0,6601.0,6049.0,5113.0,3824.0,3156.0,2574.0,1908.0,2364.0,105480.0,IA,2021,SE
Masculino,8076.0,8013.0,8108.0,8676.0,9214.0,8456.0,7656.0,6905.0,6328.0,5701.0,4989.0,3880.0,3109.0,2674.0,2053.0,1304.0,1374.0,96516.0,RA,2018,SE
Feminino,7715.0,7577.0,7654.0,8175.0,8735.0,8421.0,7806.0,6950.0,6377.0,5816.0,5162.0,3966.0,3230.0,2785.0,2110.0,1466.0,1813.0,95758.0,RA,2018,SE
Masculino,8032.0,7920.0,7752.0,7742.0,8836.0,8707.0,8025.0,7145.0,6667.0,5972.0,5403.0,4454.0,3385.0,2783.0,2242.0,1482.0,1486.0,98033.0,RA,2021,SE
Feminino,7664.0,7475.0,7205.0,7347.0,8394.0,8512.0,8246.0,7273.0,6751.0,6076.0,5655.0,4534.0,3447.0,2934.0,2353.0,1615.0,1999.0,97480.0,RA,2021,SE
Masculino,6767.0,6947.0,7379.0,8003.0,8523.0,7914.0,7331.0,6730.0,5945.0,5441.0,5060.0,4005.0,3073.0,2456.0,1835.0,1225.0,1293.0,89927.0,U,2018,SE
Feminino,6472.0,6581.0,6999.0,7823.0,8592.0,8417.0,7992.0,7216.0,6498.0,6100.0,5593.0,4548.0,3553.0,2824.0,2194.0,1645.0,2004.0,95051.0,U,2018,SE
Masculino,6736.0,6798.0,6991.0,7318.0,8218.0,8158.0,7578.0,7070.0,6378.0,5557.0,5345.0,4549.0,3420.0,2657.0,1989.0,1362.0,1394.0,91518.0,U,2021,SE
Feminino,6432.0,6498.0,6563.0,7088.0,8223.0,8599.0,8364.0,7681.0,6855.0,6285.0,5991.0,5138.0,3972.0,3078.0,2361.0,1764.0,2222.0,97114.0,U,2021,SE
