codigo,populacao_residente,Óbitos_p/Residênc,Estado,UF,Tipo,taxa_bruta_mortalidade,taxa_analfabetismo,rede_de_esgoto,tx_n_distribuicao_agua,tx_banheiro,tx_coleta_lixo,Municipio,tx_rede_agua
220192,5912,25,Piauí,PI,RuralAdjacente,4.2286874154262515,29.47,0.0,67.77,56.09,29.86,Bonfim do Piauí,15.41
220194,6544,50,Piauí,PI,RuralAdjacente,7.640586797066014,21.56999999999999,0.33,5.87,93.61,67.8,Boqueirão do Piauí,93.08
220196,8434,64,Piauí,PI,RuralAdjacente,7.588332938107659,24.76000000000001,0.64,29.47,95.0,83.76,Brasileira,67.55
220198,3904,31,Piauí,PI,RuralAdjacente,7.940573770491803,25.83,0.07,40.52,89.15,39.29,Brejo do Piauí,58.61
220200,19650,148,Piauí,PI,RuralAdjacente,7.531806615776081,23.45999999999999,1.63,25.56,89.09,73.02,Buriti dos Lopes,67.45
220202,7431,43,Piauí,PI,RuralAdjacente,5.786569775265779,23.43000000000001,0.3,10.24,87.47,71.82,Buriti dos Montes,84.93
220205,10211,79,Piauí,PI,RuralAdjacente,7.736754480462246,26.79000000000001,0.31,39.74,84.26,22.51,Cabeceiras do Piauí,46.66
220207,3106,25,Piauí,PI,RuralAdjacente,8.048937540244689,19.04000000000001,0.0,3.72,88.35,38.97,Cajazeiras do Piauí,93.41
220209,5503,34,Piauí,PI,RuralAdjacente,6.1784481192077045,25.97,0.05,99.84,70.92,42.7,Caldeirão Grande do Piauí,0.0
220210,4936,49,Piauí,PI,RuralAdjacente,9.92706645056726,22.59999999999999,3.78,55.45,87.07,44.33,Campinas do Piauí,40.99
220211,4614,39,Piauí,PI,RuralRemoto,8.45253576072822,30.34999999999999,0.25,42.27,90.23,30.75,Campo Alegre do Fidalgo,36.63
220213,6020,47,Piauí,PI,RuralAdjacente,7.807308970099668,25.55,6.58,36.1,88.96,70.52,Campo Grande do Piauí,42.01
220217,7416,36,Piauí,PI,RuralAdjacente,4.854368932038835,28.2,0.0,22.75,63.06,26.54,Campo Largo do Piauí,69.27
220220,45782,433,Piauí,PI,Urbano,9.457865536673802,15.89,3.46,14.52,98.14,81.1,Campo Maior,84.04
220225,3412,28,Piauí,PI,RuralRemoto,8.206330597889801,20.47,16.96,10.04,92.98,48.31,Canavieira,70.78
220230,19365,145,Piauí,PI,IntermediarioAdjacente,7.487735605473794,21.37,7.63,16.76,94.77,64.41,Canto do Buriti,70.62
220240,11097,79,Piauí,PI,RuralAdjacente,7.119041182301523,22.94,0.41,25.19,93.43,70.5,Capitão de Campos,68.51
220245,3971,35,Piauí,PI,RuralRemoto,8.813900780659782,23.51000000000001,0.0,38.12,75.28,39.92,Capitão Gervásio Oliveira,33.43
220250,10316,54,Piauí,PI,RuralAdjacente,5.234587049243893,29.51000000000001,0.06,67.61,69.24,49.4,Caracol,18.75
220253,5628,37,Piauí,PI,RuralAdjacente,6.5742714996446345,31.26000000000001,0.05,28.92,71.45,40.13,Caraúbas do Piauí,66.89
220255,5033,32,Piauí,PI,RuralAdjacente,6.358036956089808,24.84999999999999,2.8,35.78,86.62,55.57,Caridade do Piauí,56.5
220260,19282,170,Piauí,PI,IntermediarioAdjacente,8.816512809874494,23.04000000000001,2.12,27.05,89.52,70.41,Castelo do Piauí,67.73
220265,5495,25,Piauí,PI,RuralAdjacente,4.549590536851683,29.59999999999999,0.57,18.61,82.41,52.66,Caxingó,79.3
220270,28206,198,Piauí,PI,RuralAdjacente,7.019783024888321,26.70999999999999,0.37,39.99,85.21,45.58,Cocal,52.31
220271,4911,41,Piauí,PI,RuralAdjacente,8.348605172062717,24.63,0.24,9.7,92.48,60.7,Cocal de Telha,82.41
220272,6384,53,Piauí,PI,RuralAdjacente,8.302005012531328,30.76000000000001,0.14,18.76,84.73,30.95,Cocal dos Alves,67.69
220273,4116,31,Piauí,PI,RuralAdjacente,7.531584062196307,22.05,0.23,39.16,87.88,50.35,Coivaras,57.5
220275,6148,45,Piauí,PI,RuralRemoto,7.319453480806766,16.31,0.53,4.12,99.03,83.62,Colônia do Gurguéia,82.55
220277,6992,61,Piauí,PI,RuralAdjacente,8.724256292906178,25.11,1.48,14.64,95.01,52.37,Colônia do Piauí,80.46
220280,4931,43,Piauí,PI,RuralAdjacente,8.720340701683229,22.65000000000001,1.94,11.09,94.96,59.3,Conceição do Canindé,69.79
220285,4249,30,Piauí,PI,RuralAdjacente,7.060484819957637,24.78,0.0,54.01,71.04,45.25,Coronel José Dias,30.51
220290,27270,175,Piauí,PI,IntermediarioRemoto,6.417308397506417,13.28,11.31,17.31,87.48,64.19,Corrente,75.57
220300,7350,35,Piauí,PI,RuralRemoto,4.761904761904763,20.73,0.39,66.75,85.4,46.94,Cristalândia do Piauí,16.25
220310,10503,77,Piauí,PI,RuralRemoto,7.331238693706561,17.98,0.94,18.47,95.39,70.65,Cristino Castro,75.8
220320,11261,87,Piauí,PI,RuralRemoto,7.725779238078323,12.59,0.71,29.01,94.15,66.47,Curimatá,68.74
220323,4853,32,Piauí,PI,RuralRemoto,6.593859468370081,20.61,1.93,7.03,85.72,38.07,Currais,84.83
220325,4412,29,Piauí,PI,RuralAdjacente,6.57298277425204,21.38,0.0,4.85,88.26,61.56,Curralinhos,88.97
220327,5073,21,Piauí,PI,RuralAdjacente,4.139562389118865,26.22,0.06,62.86,78.48,47.24,Curral Novo do Piauí,28.51
220330,16350,111,Piauí,PI,RuralAdjacente,6.7889908256880735,14.56,18.9,11.28,97.03,82.75,Demerval Lobão,87.22
220335,7053,56,Piauí,PI,RuralAdjacente,7.939883737416702,23.81,0.66,64.09,66.34,39.27,Dirceu Arcoverde,30.34
220340,6319,55,Piauí,PI,RuralAdjacente,8.703908846336445,18.97,0.45,8.19,99.37,95.44,Dom Expedito Lopes,89.26
220342,4075,31,Piauí,PI,RuralAdjacente,7.607361963190184,23.55,0.15,45.83,91.65,45.22,Domingos Mourão,50.99
220345,9155,68,Piauí,PI,RuralAdjacente,7.427635172037138,19.29000000000001,0.0,74.5,73.31,32.2,Dom Inocêncio,15.39
220350,13601,116,Piauí,PI,RuralAdjacente,8.528784648187633,24.86,10.38,16.87,93.95,73.26,Elesbão Veloso,80.05
220360,4377,30,Piauí,PI,RuralRemoto,6.854009595613434,19.44,2.8,6.39,96.61,76.86,Eliseu Martins,92.63
220370,40962,315,Piauí,PI,IntermediarioAdjacente,7.690054196572433,21.95999999999999,3.94,15.73,88.64,63.2,Esperantina,78.53
220375,5282,30,Piauí,PI,RuralAdjacente,5.679666792881484,25.77,0.11,73.9,56.68,25.53,Fartura do Piauí,23.35
220380,4414,34,Piauí,PI,RuralRemoto,7.702763932940644,25.84999999999999,0.32,12.19,94.0,67.13,Flores do Piauí,79.64
220385,2333,19,Piauí,PI,RuralAdjacente,8.144020574367767,34.68000000000001,3.13,9.05,90.26,46.52,Floresta do Piauí,88.28
220390,62006,457,Piauí,PI,Urbano,7.370254491500822,10.2,18.34,7.72,96.75,89.23,Floriano,88.41
220400,4502,68,Piauí,PI,RuralRemoto,15.104398045313195,29.04000000000001,0.18,15.82,92.15,76.51,Francinópolis,83.38
220410,4411,44,Piauí,PI,RuralAdjacente,9.975062344139651,26.18000000000001,0.26,5.52,89.68,49.08,Francisco Ayres,93.63
220415,2929,19,Piauí,PI,RuralAdjacente,6.486855582109936,27.34,0.1,19.12,86.76,50.49,Francisco Macedo,53.24
220420,8236,72,Piauí,PI,RuralAdjacente,8.742107819329771,22.51000000000001,4.77,29.49,92.92,59.65,Francisco Santos,60.74
220430,10255,88,Piauí,PI,RuralAdjacente,8.581179912237932,23.67,37.77,29.77,89.52,70.51,Fronteiras,68.42
220435,5444,51,Piauí,PI,RuralAdjacente,9.368111682586333,26.63,0.26,9.37,97.98,84.16,Geminiano,86.96
220440,10885,67,Piauí,PI,RuralRemoto,6.15525953146532,17.34999999999999,0.53,23.95,84.11,65.08,Gilbués,66.5
220455,4276,25,Piauí,PI,RuralRemoto,5.846585594013096,26.61,0.3,43.18,76.16,32.14,Guaribas,55.52
220460,3517,35,Piauí,PI,IntermediarioAdjacente,9.95166334944555,25.72,3.79,5.56,98.65,93.93,Hugo Napoleão,88.29
220465,9273,72,Piauí,PI,RuralAdjacente,7.7644775153671945,19.83,15.87,9.47,95.25,89.31,Ilha Grande,87.94
220470,14952,139,Piauí,PI,RuralAdjacente,9.2964151952916,23.27,1.01,4.6,96.23,79.49,Inhuma,91.65
220480,9418,89,Piauí,PI,RuralAdjacente,9.449989382034403,18.13,6.61,8.84,98.35,66.34,Ipiranga do Piauí,87.92
220490,7774,58,Piauí,PI,RuralAdjacente,7.460766658091073,27.67,7.58,18.48,80.47,36.39,Isaías Coelho,45.79
220500,10789,100,Piauí,PI,RuralAdjacente,9.268699601445917,28.44,5.57,18.4,89.98,42.14,Itainópolis,62.09
220510,10322,88,Piauí,PI,RuralAdjacente,8.52547955822515,21.22,0.11,30.05,89.57,60.77,Itaueira,59.36
220515,5612,45,Piauí,PI,RuralAdjacente,8.018531717747683,28.18000000000001,0.05,39.68,89.94,47.34,Jacobina do Piauí,44.94
220520,17524,166,Piauí,PI,RuralAdjacente,9.472723122574754,31.08,6.38,45.82,90.14,56.24,Jaicós,39.01
220525,4180,30,Piauí,PI,RuralAdjacente,7.177033492822967,27.3,1.05,3.49,94.13,46.96,Jardim do Mulato,94.48
220527,4492,39,Piauí,PI,RuralAdjacente,8.682101513802316,23.95999999999999,0.41,30.37,91.19,35.19,Jatobá do Piauí,61.83
220530,4496,39,Piauí,PI,RuralAdjacente,8.674377224199288,19.16,1.61,20.5,91.9,64.77,Jerumenha,76.76
220535,2970,23,Piauí,PI,RuralAdjacente,7.744107744107744,22.89,4.23,6.14,93.06,32.39,João Costa,77.97
220540,13883,89,Piauí,PI,RuralAdjacente,6.410718144493265,26.69,5.64,8.5,77.96,37.96,Joaquim Pires,72.67
220545,5392,39,Piauí,PI,RuralRemoto,7.232937685459941,30.81999999999999,0.12,11.79,76.92,36.03,Joca Marques,69.67
220550,42544,307,Piauí,PI,IntermediarioAdjacente,7.216058668672433,18.90000000000001,2.75,31.78,91.06,63.95,José de Freitas,65.31
220551,5213,14,Piauí,PI,RuralAdjacente,2.6855937080375982,22.48999999999999,0.06,20.05,85.77,46.25,Juazeiro do Piauí,74.2
220552,5388,33,Piauí,PI,RuralRemoto,6.124721603563474,13.40000000000001,0.0,41.99,81.29,47.86,Júlio Borges,56.07
220553,4425,34,Piauí,PI,RuralAdjacente,7.68361581920904,28.09999999999999,0.26,42.78,92.26,42.85,Jurema,44.55
220554,2939,35,Piauí,PI,RuralAdjacente,11.908812521265737,20.08,1.38,0.89,96.93,88.13,Lagoinha do Piauí,97.63
220555,8252,53,Piauí,PI,RuralAdjacente,6.4226854095976735,22.54000000000001,5.53,51.95,78.52,36.2,Lagoa Alegre,40.62
220556,4994,50,Piauí,PI,RuralAdjacente,10.012014417300762,21.08,2.71,59.31,90.81,35.39,Lagoa do Barro do Piauí,28.42
220557,6331,39,Piauí,PI,RuralAdjacente,6.160164271047228,24.12,0.35,15.88,89.23,31.61,Lagoa de São Francisco,69.44
220558,4808,29,Piauí,PI,RuralAdjacente,6.031613976705491,17.73999999999999,0.63,7.04,90.89,63.73,Lagoa do Piauí,86.61
220559,4517,42,Piauí,PI,RuralAdjacente,9.298206774407793,30.91,0.13,2.72,94.75,52.31,Lagoa do Sítio,89.75
220560,5210,45,Piauí,PI,RuralRemoto,8.637236084452976,16.91,1.06,9.09,95.6,83.28,Landri Sales,84.89
220570,30632,245,Piauí,PI,RuralAdjacente,7.998171846435101,22.42,0.59,46.13,86.18,52.33,Luís Correia,49.22
220580,25372,195,Piauí,PI,IntermediarioAdjacente,7.685637710862368,25.70999999999999,1.44,35.67,87.16,63.09,Luzilândia,60.38
220585,8031,42,Piauí,PI,RuralRemoto,5.2297347777362715,25.68000000000001,0.13,9.81,75.24,46.95,Madeiro,68.39
220590,5208,33,Piauí,PI,RuralRemoto,6.336405529953917,19.43000000000001,0.46,19.9,96.65,68.77,Manoel Emídio,74.26
220595,8530,60,Piauí,PI,IntermediarioAdjacente,7.033997655334115,22.95,0.0,97.94,82.81,87.88,Marcolândia,0.25
220605,5218,52,Piauí,PI,RuralAdjacente,9.965504024530471,34.3,7.92,35.42,81.23,27.67,Massapê do Piauí,32.61
220610,10637,70,Piauí,PI,RuralAdjacente,6.58080285794867,25.87,0.97,30.92,80.64,41.66,Matias Olímpio,62.87
220620,32143,217,Piauí,PI,RuralAdjacente,6.751081106306194,29.43000000000001,2.15,31.02,64.86,32.86,Miguel Alves,51.92
220630,1317,14,Piauí,PI,RuralAdjacente,10.630220197418375,20.79000000000001,0.74,33.74,94.58,65.27,Miguel Leão,66.01
220635,6540,45,Piauí,PI,RuralAdjacente,6.8807339449541285,30.11,0.05,30.4,82.04,37.65,Milton Brandão,58.98
220640,10253,76,Piauí,PI,RuralAdjacente,7.412464644494294,18.06999999999999,2.28,15.68,94.42,62.45,Monsenhor Gil,81.05
220650,7577,70,Piauí,PI,RuralAdjacente,9.23848488847829,26.87,9.19,9.82,90.1,67.6,Monsenhor Hipólito,51.74
220660,10657,66,Piauí,PI,RuralRemoto,6.193112508210565,19.06999999999999,0.31,7.73,85.43,42.53,Monte Alegre do Piauí,76.41
220665,4373,36,Piauí,PI,RuralRemoto,8.232334781614453,19.22,0.0,60.51,73.45,42.47,Morro Cabeça no Tempo,12.15
220667,6423,47,Piauí,PI,RuralRemoto,7.317452903627588,27.73999999999999,0.67,18.53,78.44,44.47,Morro do Chapéu do Piauí,77.05
220669,9796,39,Piauí,PI,RuralAdjacente,3.9812168231931406,30.25,8.16,26.96,79.27,42.11,Murici dos Portelas,55.39
220670,6663,63,Piauí,PI,RuralAdjacente,9.45520036019811,23.79000000000001,0.34,11.97,90.04,54.21,Nazaré do Piauí,83.61
220672,10260,78,Piauí,PI,RuralAdjacente,7.60233918128655,23.58,0.49,21.73,87.66,45.37,Nazária,73.48
220675,5227,44,Piauí,PI,RuralAdjacente,8.417830495504113,22.15000000000001,0.23,32.36,94.74,45.91,Nossa Senhora de Nazaré,57.77
220680,8522,50,Piauí,PI,RuralAdjacente,5.867167331612298,26.81,0.35,41.15,62.57,35.03,Nossa Senhora dos Remédios,55.59
220690,6097,66,Piauí,PI,RuralAdjacente,10.824995899622765,25.06999999999999,0.04,4.17,92.99,58.58,Novo Oriente do Piauí,94.24
220695,2827,30,Piauí,PI,RuralAdjacente,10.611956137247965,29.14,2.59,35.32,89.75,39.6,Novo Santo Antônio,61.59
220700,38154,309,Piauí,PI,IntermediarioAdjacente,8.098757666299733,17.33,35.09,7.46,94.82,73.02,Oeiras,88.62
220710,2636,20,Piauí,PI,RuralAdjacente,7.587253414264037,22.08,0.11,3.36,93.96,61.3,Olho D'Água do Piauí,64.77
220720,6379,69,Piauí,PI,RuralAdjacente,10.816742436118513,34.01000000000001,0.64,41.68,80.73,56.19,Padre Marcos,56.83
220730,4087,37,Piauí,PI,RuralRemoto,9.053095179838513,19.58,4.07,17.29,97.04,62.16,Paes Landim,78.57
220735,3000,10,Piauí,PI,RuralRemoto,3.3333333333333335,23.36,1.64,34.55,96.44,58.89,Pajeú do Piauí,63.54
220740,4951,41,Piauí,PI,RuralRemoto,8.28115532215714,19.26000000000001,0.12,23.25,88.97,38.15,Palmeira do Piauí,73.88
220750,13261,95,Piauí,PI,RuralAdjacente,7.163863961993816,24.2,0.84,15.92,82.64,49.07,Palmeirais,81.08
220755,3813,31,Piauí,PI,RuralAdjacente,8.130081300813009,34.28,0.08,4.1,94.43,70.05,Paquetá,52.94
220760,10101,55,Piauí,PI,RuralRemoto,5.445005445005445,17.03,0.07,32.86,83.75,46.97,Parnaguá,57.48
220770,162127,1213,Piauí,PI,Urbano,7.481788967907875,11.73999999999999,27.65,6.08,98.23,94.44,Parnaíba,91.85
220775,4135,33,Piauí,PI,RuralAdjacente,7.980652962515114,25.51000000000001,36.37,5.83,88.18,61.25,Passagem Franca do Piauí,80.95
220777,5423,46,Piauí,PI,RuralAdjacente,8.482389821132214,30.47,8.67,29.16,85.54,45.54,Patos do Piauí,56.34
220779,3879,28,Piauí,PI,RuralAdjacente,7.218355246197474,25.79000000000001,4.13,36.88,82.02,22.88,Pau D'Arco do Piauí,58.53
220780,21051,164,Piauí,PI,IntermediarioAdjacente,7.7906037717923144,22.81,3.04,32.25,87.85,65.26,Paulistana,64.33
220785,3626,34,Piauí,PI,RuralRemoto,9.376723662437948,28.93000000000001,1.39,10.57,89.58,51.77,Pavussu,73.61
220790,37888,326,Piauí,PI,IntermediarioAdjacente,8.604307432432432,24.81,1.73,29.72,93.36,70.73,Pedro II,65.3
